Mfr. #,Manufacturer,Customer #,Description,RoHS,Lifecycle,Order Qty.,Ref Des,Notes
SN74LVC2G14DBVR,Texas Instruments,,Inverters Dual Schmitt-Trigger,RoHS Compliant,,1,U7,
iCE40HX4K-TQ144,Lattice,,FPGA - Field Programmable Gate Array iCE40HX 3520 LUTs 1.2V Ultra Low-Power,RoHS Compliant,,1,U1,
IS42S83200J-7TLI,ISSI,,"DRAM 256M, 3.3V, SDRAM, 32Mx8, 143MHz, 54 pin TSOP II (400 mil) RoHS, IT",RoHS Compliant,,1,U6,
ASDMB-100.000MHZ-LY-T,ABRACON,,Standard Clock Oscillators 100MHz 10ppm -40C +85C,RoHS Compliant,,1,Y1,
EVQ-PE105K,Panasonic,,Tactile Switches 6.0x3.5mm SMD Light Touch Switch,RoHS Compliant,,3,"SW1, SW2, SW3",
219-2MST,CTS,,DIP Switches / SIP Switches SPST 2 switch sections,RoHS Compliant,,1,SW4,
LB Q39G-L2OO-35-1,Osram Opto Semiconductor,,"Standard LEDs - SMD Standard LEDs - SMD Blue, 470nm, 5mA",RoHS Compliant,,4,"D1, D2, D3, D4",
CDBU0520,Comchip Technology,,"Schottky Diodes & Rectifiers VR=20V, IO=500mA",RoHS Compliant,,1,D5,
110990030,Seeed Studio,,Seeed Studio Accessories Grove - Universal 4 pin connector (Pack of 10),RoHS Compliant,,4,"GR1, GR2, GR3, GR4",
5-146256-1,TE Connectivity,,Headers & Wire Housings 02P HDR DRST B/A 15AU,RoHS Compliant,,2,"JP1, JP2",
C0603C104M4RAC7411,Kemet,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 0.1uF 0603 X7R 20% ,RoHS Compliant,,23,"C40, C36, C21, C3, C4, C7, C9, C13, C15, C17, C20, C23, C25, C27, C30, C32, C34, C29, C39, C41, C42, C43, C46",
LMK107B7105KAHT,Taiyo Yuden,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 10VDC 1uF 10% X7R AEC-Q200,RoHS Compliant,,17,"C6, C8, C11, C14, C16, C19, C22, C24, C26, C28, C31, C33, C35, C38, C37, C44, C45",
LMK107BJ475KA-T,Taiyo Yuden,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7uF 10V X5R +/-10% 0603 Gen Purp,RoHS Compliant,,4,"C5, C10, C18, C12",
CC0603KRX5R6BB106,Yageo,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 10% 10V,RoHS Compliant,,2,"C1, C2",
RC0402JR-0710KL,Yageo,,Thick Film Resistors - SMD 10K OHM 5%,RoHS Compliant By Exemption,,8,"R15, R16, R17, R18, R25, R23, R26, R24",
RC0402JR-07240RL,Yageo,,Thick Film Resistors - SMD 240 OHM 5%,RoHS Compliant By Exemption,,4,"R4, R5, R6, R7",
RC0402JR-074K7L,Yageo,,Thick Film Resistors - SMD 4.7K OHM 5%,RoHS Compliant By Exemption,,9,"R9, R8, R21, R22, R27, R11, R12, R13, R14",
RC0402FR-07100RL,Yageo,,Thick Film Resistors - SMD 100 OHM 1%,RoHS Compliant By Exemption,,5,"R2, R1, R19, R20, R3",
RC0402JR-07220RL,Yageo,,Thick Film Resistors - SMD 220 OHM 5%,RoHS Compliant By Exemption,,1,R10,
M7767-05,Harwin,,Headers & Wire Housings JUMPER SOCKET CLOSED TOP BLACK,RoHS Compliant,,2,On top of JP1 and JP2,
MCP1826S-3302E/DB,Microchip,,LDO Voltage Regulators 1A CMOS LDO Vout 3.3V ETR,RoHS Compliant,,1,U2,
MCP1826S-1202E/DB,Microchip,,LDO Voltage Regulators 1A CMOS LDO Vout 1.2V ETR,RoHS Compliant,,1,U3,
218246M141  ,,, 2.54mm 2x23pin SMT Female header H8.5mm PA6T,,,2,"P8, P9 (top)",
313246M141  ,,,2.54mm 2x23pin SMT Male header PA6mm W7.6mm PA6T,,,2,"P8, P9 (bottom)",
AT24CS32-XHM-B,Microchip,,EEPROM S/N SEEPROM 32K I2C1MHz 8-TSSOP,RoHS Compliant,,1,U4,
MX25L3206EM2I-12G,Macronix,,FLASH - NOR Memory IC 32Mb (4M x 8) SPI 86MHz  8-SOP,RoHS Compliant,,1,U5,
PPPC062LJBN-RC,Sullins Connector Solutions,,"12 Position Header Connector  Through Hole, Right Angle",RoHS Compliant,,4,"P1, P2, P3, P4",
